ID,Difficulty,Question_Text,Correct_Answer,Distractor_1,Distractor_2
1,Easy,Unit 1 – Exploring Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
2,Easy,Unit 1 – Exploring Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
3,Easy,Unit 1 – Exploring Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
4,Easy,Unit 1 – Exploring Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
5,Easy,Unit 1 – Exploring Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
6,Easy,Unit 1 – Exploring Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
7,Easy,Unit 1 – Exploring Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
8,Easy,Unit 1 – Exploring Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
9,Easy,Unit 1 – Exploring Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
10,Easy,Unit 1 – Exploring Business: Which option best describes a business activity?,Providing goods or services to customers,Avoiding competition with other businesses,Following government rules only
11,Medium,Unit 1 – Exploring Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
12,Medium,Unit 1 – Exploring Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
13,Medium,Unit 1 – Exploring Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
14,Medium,Unit 1 – Exploring Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
15,Medium,Unit 1 – Exploring Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
16,Medium,Unit 1 – Exploring Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
17,Medium,Unit 1 – Exploring Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
18,Medium,Unit 1 – Exploring Business: Why do businesses set aims and objectives?,To guide decisions and measure performance,To reduce costs automatically,To remove competition from the market
