ID,Difficulty,Question_Text,Correct_Answer,Distractor_1,Distractor_2
1,Business Purposes (Level 2),What is the main purpose of a business?,To supply goods or services,To give people jobs only,To follow government rules
2,Business Purposes (Level 2),Which business is owned by one person?,Sole trader,Partnership,Public limited company
3,Business Purposes (Level 2),Which business is owned by shareholders?,Public limited company,Sole trader,Charity
4,Business Purposes (Level 2),What does profit mean?,Money left after costs,Total sales,Money borrowed
5,Business Purposes (Level 2),Which sector includes farming?,Primary sector,Secondary sector,Tertiary sector
6,Business Purposes (Level 2),Which sector includes manufacturing?,Secondary sector,Primary sector,Tertiary sector
7,Business Purposes (Level 2),Which sector includes services?,Tertiary sector,Primary sector,Secondary sector
8,Business Purposes (Level 2),What is a not-for-profit organisation?,An organisation that reinvests surplus,A business that makes losses,A business owned by shareholders
9,Business Purposes (Level 2),What does ‘local’ scale mean?,Operates in one area,Operates nationally,Operates worldwide
10,Business Purposes (Level 2),What does ‘global’ mean?,Operates worldwide,Operates locally,Operates regionally
11,Business Purposes (Level 2),Which is a private sector business?,A supermarket,A local council,The NHS
12,Business Purposes (Level 2),Which is a public sector organisation?,Local council,Restaurant,Franchise
13,Business Purposes (Level 2),What is government influence on business?,Rules and policies affecting business,Daily management of shops,Setting prices for all goods
14,Business Purposes (Level 2),What is taxation?,Money paid to government,Business profit,Employee wages
15,Business Purposes (Level 2),What is inflation?,Rising prices over time,Falling wages,Lower interest rates
16,Business Purposes (Level 2),What is a partnership?,Business owned by two or more people,Business owned by one person,Business owned by government
17,Business Purposes (Level 2),What is a franchise?,Buying the right to use a brand,Starting a charity,Merging businesses
18,Business Purposes (Level 2),What does size of business mean?,Number of employees,Location only,Type of product
19,Business Purposes (Level 2),What is a medium-sized business?,Between small and large,Only one worker,"Over 10,000 workers"
20,Business Purposes (Level 2),What is a charity?,Not-for-profit organisation,Private business,Public company
21,Business Purposes (Level 2),What is the business environment?,Conditions businesses operate in,The office building,The workforce only
22,Business Purposes (Level 2),What is a trend?,A general change over time,A sudden accident,A fixed rule
23,Business Purposes (Level 2),Which factor is economic?,Interest rates,Fashion taste,Company logo
24,Business Purposes (Level 2),Which factor is social?,Changes in lifestyle,Tax law,Exchange rates
25,Business Purposes (Level 2),What is legal change?,New laws or regulations,New technology,New competitors
26,Business Purposes (Level 2),What does classification mean?,Grouping businesses,Closing businesses,Taxing businesses
27,Business Purposes (Level 2),What is a national business?,Operates across a country,Operates in one town,Operates worldwide
28,Business Purposes (Level 2),What is a regional business?,Operates in part of a country,Operates globally,Operates locally only
29,Business Purposes (Level 2),What is ownership?,Who owns the business,Where the business is,What the business sells
30,Business Purposes (Level 2),What is a co-operative?,Owned by members,Owned by one person,Owned by shareholders
31,Business Organisations (Level 2),What is a business aim?,A long-term goal,A daily task,A legal rule
32,Business Organisations (Level 2),What is a business objective?,A specific target,A general idea,A mission statement
33,Business Organisations (Level 2),What does SMART stand for?,"Specific, Measurable, Achievable, Realistic, Time-bound","Simple, Modern, Accurate, Relevant, Timed","Small, Measured, Active, Ready, True"
34,Business Organisations (Level 2),Which is a financial aim?,Make a profit,Improve teamwork,Increase training
35,Business Organisations (Level 2),Which is a growth objective?,Increase market share,Reduce staff,Close branches
36,Business Organisations (Level 2),What is a functional area?,A department in a business,A type of customer,A business owner
37,Business Organisations (Level 2),Which is a functional area?,Marketing,Shareholders,Suppliers
38,Business Organisations (Level 2),What does the finance function do?,Manages money,Sells products,Hires staff
39,Business Organisations (Level 2),What does HR do?,Manages employees,Sets prices,Delivers goods
40,Business Organisations (Level 2),What does marketing do?,Promotes products,Pays wages,Keeps records
41,Business Organisations (Level 2),What does customer service focus on?,Helping customers,Producing goods,Managing accounts
42,Business Organisations (Level 2),What is logistics?,Moving goods,Advertising,Recruiting staff
43,Business Organisations (Level 2),Why do businesses set aims?,To give direction,To increase laws,To reduce staff
44,Business Organisations (Level 2),What happens if aims are unclear?,Confusion,Higher profits,More customers
45,Business Organisations (Level 2),What is a mission statement?,What a business wants to achieve,Daily work plan,Financial report
46,Business Organisations (Level 2),Which business is public sector?,Local council,Restaurant,Retail shop
47,Business Organisations (Level 2),Which business is private sector?,Clothing store,NHS hospital,Police service
48,Business Organisations (Level 2),What does communication mean?,Sharing information,Giving orders only,Writing reports
49,Business Organisations (Level 2),Why do departments need to work together?,To meet aims,To compete internally,To reduce costs only
50,Business Organisations (Level 2),What links sales and marketing?,Selling products,Hiring staff,Managing IT
51,Business Organisations (Level 2),What is administration?,Office support work,Manufacturing,Advertising
52,Business Organisations (Level 2),What is R&D?,Research and development,Retail and distribution,Revenue and debt
53,Business Organisations (Level 2),Why are aims reviewed?,To check progress,To increase costs,To close business
54,Business Organisations (Level 2),What is short-term objective?,Achieved soon,Achieved in 10 years,Never measured
55,Business Organisations (Level 2),What is long-term aim?,Future goal,Daily task,Weekly plan
56,Business Organisations (Level 2),What is an advantage of clear aims?,Better focus,Higher taxes,More rules
57,Business Organisations (Level 2),What is a disadvantage of unclear aims?,Poor direction,More sales,More staff
58,Business Organisations (Level 2),What is a large organisation?,Many employees,One worker,Family business
59,Business Organisations (Level 2),What is an external link?,Supplier,Employee,Manager
60,Business Organisations (Level 2),What does IT support do?,Supports technology,Sells products,Manages staff
61,Financial Forecasting (Level 2),What is a cost?,Money spent,Money earned,Profit
62,Financial Forecasting (Level 2),What is revenue?,Money coming in,Money going out,Total costs
